theta2,intensity,time
16.28,1237.0,1.0
16.3,1232.0,1.0
16.32,1180.0,1.0
16.34,1185.0,1.0
16.36,1234.0,1.0
16.38,1210.0,1.0
16.4,1172.0,1.0
16.42,1196.0,1.0
16.44,1170.0,1.0
16.46,1141.0,1.0
16.48,1182.0,1.0
16.5,1171.0,1.0
16.52,1144.0,1.0
16.54,1117.0,1.0
16.56,1225.0,1.0
16.58,1129.0,1.0
16.6,1136.0,1.0
16.62,1174.0,1.0
16.64,1185.0,1.0
16.66,1131.0,1.0
16.68,1192.0,1.0
16.7,1124.0,1.0
16.72,1126.0,1.0
16.74,1110.0,1.0
16.76,1098.0,1.0
16.78,1085.0,1.0
16.8,1142.0,1.0
16.82,1170.0,1.0
16.84,1173.0,1.0
16.86,1058.0,1.0
16.88,1170.0,1.0
16.9,1129.0,1.0
16.92,1156.0,1.0
16.94,1132.0,1.0
16.96,1129.0,1.0
16.98,1133.0,1.0
17.0,1122.0,1.0
17.02,1061.0,1.0
17.04,1084.0,1.0
17.06,1053.0,1.0
17.08,1109.0,1.0
17.1,1131.0,1.0
17.12,1150.0,1.0
17.14,1135.0,1.0
17.16,1096.0,1.0
17.18,1124.0,1.0
17.2,1068.0,1.0
17.22,1051.0,1.0
17.24,1060.0,1.0
17.26,1081.0,1.0
17.28,1054.0,1.0
17.3,1071.0,1.0
17.32,984.0,1.0
17.34,1106.0,1.0
17.36,1033.0,1.0
17.38,1052.0,1.0
17.4,1115.0,1.0
17.42,1083.0,1.0
17.44,1083.0,1.0
17.46,1064.0,1.0
17.48,1033.0,1.0
17.5,971.0,1.0
17.52,1047.0,1.0
17.54,1061.0,1.0
17.56,1108.0,1.0
17.58,1019.0,1.0
17.6,1048.0,1.0
17.62,1072.0,1.0
17.64,1038.0,1.0
17.66,1042.0,1.0
17.68,995.0,1.0
17.7,1055.0,1.0
17.72,1052.0,1.0
17.74,997.0,1.0
17.76,1019.0,1.0
17.78,1043.0,1.0
17.8,1075.0,1.0
17.82,1046.0,1.0
17.84,997.0,1.0
17.86,1062.0,1.0
17.88,972.0,1.0
17.9,1043.0,1.0
17.92,1044.0,1.0
17.94,1039.0,1.0
17.96,1054.0,1.0
17.98,969.0,1.0
18.0,994.0,1.0
18.02,954.0,1.0
18.04,1024.0,1.0
18.06,988.0,1.0
18.08,1067.0,1.0
18.1,1014.0,1.0
18.12,995.0,1.0
18.14,1002.0,1.0
18.16,985.0,1.0
18.18,1025.0,1.0
18.2,1019.0,1.0
18.22,992.0,1.0
18.24,998.0,1.0
18.26,1011.0,1.0
18.28,1016.0,1.0
18.3,987.0,1.0
18.32,1000.0,1.0
18.34,987.0,1.0
18.36,984.0,1.0
18.38,1014.0,1.0
18.4,948.0,1.0
18.42,1014.0,1.0
18.44,1031.0,1.0
18.46,942.0,1.0
18.48,984.0,1.0
18.5,959.0,1.0
18.52,1004.0,1.0
18.54,984.0,1.0
18.56,976.0,1.0
18.58,946.0,1.0
18.6,1000.0,1.0
18.62,996.0,1.0
18.64,1001.0,1.0
18.66,1011.0,1.0
18.68,1001.0,1.0
18.7,955.0,1.0
18.72,954.0,1.0
18.74,888.0,1.0
18.76,985.0,1.0
18.78,934.0,1.0
18.8,978.0,1.0
18.82,982.0,1.0
18.84,930.0,1.0
18.86,972.0,1.0
18.88,906.0,1.0
18.9,930.0,1.0
18.92,978.0,1.0
18.94,978.0,1.0
18.96,1003.0,1.0
18.98,916.0,1.0
19.0,1110.0,1.0
19.02,1189.0,1.0
19.04,1381.0,1.0
19.06,1209.0,1.0
19.08,1044.0,1.0
19.1,1091.0,1.0
19.12,925.0,1.0
19.14,938.0,1.0
19.16,903.0,1.0
19.18,899.0,1.0
19.2,927.0,1.0
19.22,948.0,1.0
19.24,933.0,1.0
19.26,948.0,1.0
19.28,883.0,1.0
19.3,864.0,1.0
19.32,926.0,1.0
19.34,962.0,1.0
19.36,916.0,1.0
19.38,897.0,1.0
19.4,890.0,1.0
19.42,882.0,1.0
19.44,860.0,1.0
19.46,913.0,1.0
19.48,912.0,1.0
19.5,910.0,1.0
19.52,884.0,1.0
19.54,905.0,1.0
19.56,899.0,1.0
19.58,896.0,1.0
19.6,888.0,1.0
19.62,882.0,1.0
19.64,917.0,1.0
19.66,819.0,1.0
19.68,917.0,1.0
19.7,912.0,1.0
19.72,860.0,1.0
19.74,874.0,1.0
19.76,924.0,1.0
19.78,895.0,1.0
19.8,822.0,1.0
19.82,862.0,1.0
19.84,823.0,1.0
19.86,865.0,1.0
19.88,882.0,1.0
19.9,839.0,1.0
19.92,816.0,1.0
19.94,875.0,1.0
19.96,875.0,1.0
19.98,897.0,1.0
20.0,909.0,1.0
20.02,823.0,1.0
20.04,847.0,1.0
20.06,858.0,1.0
20.08,878.0,1.0
20.1,809.0,1.0
20.12,856.0,1.0
20.14,862.0,1.0
20.16,845.0,1.0
20.18,839.0,1.0
20.2,792.0,1.0
20.22,839.0,1.0
20.24,832.0,1.0
20.26,836.0,1.0
20.28,799.0,1.0
20.3,795.0,1.0
20.32,791.0,1.0
20.34,804.0,1.0
20.36,820.0,1.0
20.38,842.0,1.0
20.4,828.0,1.0
20.42,807.0,1.0
20.44,847.0,1.0
20.46,816.0,1.0
20.48,835.0,1.0
20.5,791.0,1.0
20.52,845.0,1.0
20.54,827.0,1.0
20.56,807.0,1.0
20.58,810.0,1.0
20.6,772.0,1.0
20.62,772.0,1.0
20.64,802.0,1.0
20.66,807.0,1.0
20.68,808.0,1.0
20.7,751.0,1.0
20.72,820.0,1.0
20.74,772.0,1.0
20.76,794.0,1.0
20.78,817.0,1.0
20.8,784.0,1.0
20.82,810.0,1.0
20.84,849.0,1.0
20.86,782.0,1.0
20.88,807.0,1.0
20.9,812.0,1.0
20.92,798.0,1.0
20.94,800.0,1.0
20.96,810.0,1.0
20.98,772.0,1.0
21.0,756.0,1.0
21.02,778.0,1.0
21.04,773.0,1.0
21.06,818.0,1.0
21.08,774.0,1.0
21.1,758.0,1.0
21.12,766.0,1.0
21.14,843.0,1.0
21.16,791.0,1.0
21.18,791.0,1.0
21.2,807.0,1.0
21.22,785.0,1.0
21.24,813.0,1.0
21.26,794.0,1.0
21.28,794.0,1.0
21.3,780.0,1.0
21.32,766.0,1.0
21.34,817.0,1.0
21.36,721.0,1.0
21.38,725.0,1.0
21.4,762.0,1.0
21.42,747.0,1.0
21.44,760.0,1.0
21.46,776.0,1.0
21.48,729.0,1.0
21.5,752.0,1.0
21.52,743.0,1.0
21.54,732.0,1.0
21.56,757.0,1.0
21.58,828.0,1.0
21.6,769.0,1.0
21.62,727.0,1.0
21.64,704.0,1.0
21.66,737.0,1.0
21.68,736.0,1.0
21.7,739.0,1.0
21.72,730.0,1.0
21.74,710.0,1.0
21.76,684.0,1.0
21.78,754.0,1.0
21.8,729.0,1.0
21.82,745.0,1.0
21.84,740.0,1.0
21.86,714.0,1.0
21.88,714.0,1.0
21.9,745.0,1.0
21.92,717.0,1.0
21.94,753.0,1.0
21.96,758.0,1.0
21.98,744.0,1.0
22.0,716.0,1.0
22.02,756.0,1.0
22.04,743.0,1.0
22.06,705.0,1.0
22.08,663.0,1.0
22.1,733.0,1.0
22.12,693.0,1.0
22.14,753.0,1.0
22.16,711.0,1.0
22.18,763.0,1.0
22.2,714.0,1.0
22.22,693.0,1.0
22.24,709.0,1.0
22.26,730.0,1.0
22.28,735.0,1.0
22.3,685.0,1.0
22.32,691.0,1.0
22.34,665.0,1.0
22.36,700.0,1.0
22.38,658.0,1.0
22.4,693.0,1.0
22.42,672.0,1.0
22.44,713.0,1.0
22.46,699.0,1.0
22.48,670.0,1.0
22.5,698.0,1.0
22.52,702.0,1.0
22.54,673.0,1.0
22.56,651.0,1.0
22.58,663.0,1.0
22.6,686.0,1.0
22.62,703.0,1.0
22.64,702.0,1.0
22.66,668.0,1.0
22.68,698.0,1.0
22.7,727.0,1.0
22.72,702.0,1.0
22.74,694.0,1.0
22.76,701.0,1.0
22.78,723.0,1.0
22.8,634.0,1.0
22.82,677.0,1.0
22.84,656.0,1.0
22.86,681.0,1.0
22.88,657.0,1.0
22.9,665.0,1.0
22.92,651.0,1.0
22.94,660.0,1.0
22.96,637.0,1.0
22.98,633.0,1.0
23.0,650.0,1.0
23.02,649.0,1.0
23.04,665.0,1.0
23.06,693.0,1.0
23.08,670.0,1.0
23.1,688.0,1.0
23.12,643.0,1.0
23.14,622.0,1.0
23.16,722.0,1.0
23.18,657.0,1.0
23.2,643.0,1.0
23.22,664.0,1.0
23.24,626.0,1.0
23.26,637.0,1.0
23.28,692.0,1.0
23.3,664.0,1.0
23.32,644.0,1.0
23.34,666.0,1.0
23.36,643.0,1.0
23.38,631.0,1.0
23.4,631.0,1.0
23.42,637.0,1.0
23.44,640.0,1.0
23.46,621.0,1.0
23.48,661.0,1.0
23.5,635.0,1.0
23.52,681.0,1.0
23.54,602.0,1.0
23.56,625.0,1.0
23.58,684.0,1.0
23.6,629.0,1.0
23.62,628.0,1.0
23.64,661.0,1.0
23.66,622.0,1.0
23.68,642.0,1.0
23.7,643.0,1.0
23.72,634.0,1.0
23.74,642.0,1.0
23.76,629.0,1.0
23.78,653.0,1.0
23.8,577.0,1.0
23.82,580.0,1.0
23.84,623.0,1.0
23.86,617.0,1.0
23.88,653.0,1.0
23.9,606.0,1.0
23.92,606.0,1.0
23.94,634.0,1.0
23.96,613.0,1.0
23.98,588.0,1.0
24.0,599.0,1.0
24.02,613.0,1.0
24.04,604.0,1.0
24.06,587.0,1.0
24.08,632.0,1.0
24.1,563.0,1.0
24.12,602.0,1.0
24.14,643.0,1.0
24.16,597.0,1.0
24.18,616.0,1.0
24.2,605.0,1.0
24.22,603.0,1.0
24.24,614.0,1.0
24.26,583.0,1.0
24.28,602.0,1.0
24.3,600.0,1.0
24.32,559.0,1.0
24.34,608.0,1.0
24.36,617.0,1.0
24.38,549.0,1.0
24.4,584.0,1.0
24.42,596.0,1.0
24.44,553.0,1.0
24.46,603.0,1.0
24.48,568.0,1.0
24.5,619.0,1.0
24.52,567.0,1.0
24.54,599.0,1.0
24.56,608.0,1.0
24.58,588.0,1.0
24.6,577.0,1.0
24.62,583.0,1.0
24.64,573.0,1.0
24.66,590.0,1.0
24.68,576.0,1.0
24.7,562.0,1.0
24.72,583.0,1.0
24.74,566.0,1.0
24.76,589.0,1.0
24.78,576.0,1.0
24.8,560.0,1.0
24.82,551.0,1.0
24.84,580.0,1.0
24.86,572.0,1.0
24.88,589.0,1.0
24.9,549.0,1.0
24.92,568.0,1.0
24.94,571.0,1.0
24.96,614.0,1.0
24.98,553.0,1.0
25.0,528.0,1.0
25.02,578.0,1.0
25.04,599.0,1.0
25.06,599.0,1.0
25.08,543.0,1.0
25.1,560.0,1.0
25.12,538.0,1.0
25.14,557.0,1.0
25.16,590.0,1.0
25.18,557.0,1.0
25.2,580.0,1.0
25.22,555.0,1.0
25.24,540.0,1.0
25.26,561.0,1.0
25.28,526.0,1.0
25.3,540.0,1.0
25.32,518.0,1.0
25.34,587.0,1.0
25.36,574.0,1.0
25.38,529.0,1.0
25.4,526.0,1.0
25.42,519.0,1.0
25.44,550.0,1.0
25.46,536.0,1.0
25.48,543.0,1.0
25.5,557.0,1.0
25.52,499.0,1.0
25.54,548.0,1.0
25.56,522.0,1.0
25.58,576.0,1.0
25.6,509.0,1.0
25.62,545.0,1.0
25.64,520.0,1.0
25.66,567.0,1.0
25.68,537.0,1.0
25.7,544.0,1.0
25.72,546.0,1.0
25.74,546.0,1.0
25.76,532.0,1.0
25.78,532.0,1.0
25.8,529.0,1.0
25.82,516.0,1.0
25.84,493.0,1.0
25.86,519.0,1.0
25.88,537.0,1.0
25.9,519.0,1.0
25.92,527.0,1.0
25.94,518.0,1.0
25.96,486.0,1.0
25.98,455.0,1.0
26.0,487.0,1.0
26.02,512.0,1.0
26.04,534.0,1.0
26.06,552.0,1.0
26.08,480.0,1.0
26.1,529.0,1.0
26.12,524.0,1.0
26.14,535.0,1.0
26.16,538.0,1.0
26.18,548.0,1.0
26.2,509.0,1.0
26.22,504.0,1.0
26.24,490.0,1.0
26.26,479.0,1.0
26.28,514.0,1.0
26.3,508.0,1.0
26.32,488.0,1.0
26.34,530.0,1.0
26.36,549.0,1.0
26.38,508.0,1.0
26.4,533.0,1.0
26.42,486.0,1.0
26.44,512.0,1.0
26.46,486.0,1.0
26.48,513.0,1.0
26.5,523.0,1.0
26.52,500.0,1.0
26.54,477.0,1.0
26.56,496.0,1.0
26.58,491.0,1.0
26.6,501.0,1.0
26.62,530.0,1.0
26.64,517.0,1.0
26.66,509.0,1.0
26.68,531.0,1.0
26.7,516.0,1.0
26.72,499.0,1.0
26.74,493.0,1.0
26.76,487.0,1.0
26.78,503.0,1.0
26.8,499.0,1.0
26.82,439.0,1.0
26.84,472.0,1.0
26.86,494.0,1.0
26.88,502.0,1.0
26.9,475.0,1.0
26.92,467.0,1.0
26.94,514.0,1.0
26.96,542.0,1.0
26.98,488.0,1.0
27.0,466.0,1.0
27.02,512.0,1.0
27.04,510.0,1.0
27.06,513.0,1.0
27.08,448.0,1.0
27.1,476.0,1.0
27.12,499.0,1.0
